::1 - - [22/Oct/2022:17:23:45 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
::1 - - [06/Nov/2022:09:00:43 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:02:31 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:02:38 +0000] "POST /api/v1/transactions/get_odoo_coupon HTTP/1.1" 200 11813 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:04:33 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:04:37 +0000] "POST /api/v1/transactions/get_odoo_coupon HTTP/1.1" 200 59 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:05:42 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:05:44 +0000] "POST /api/v1/transactions/get_odoo_coupon HTTP/1.1" 200 59 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:06:57 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:07:00 +0000] "POST /api/v1/transactions/get_odoo_coupon HTTP/1.1" 200 59 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:07:19 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:07:22 +0000] "POST /api/v1/transactions/get_odoo_coupon HTTP/1.1" 200 59 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:08:21 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:08:24 +0000] "POST /api/v1/transactions/get_odoo_coupon HTTP/1.1" 200 59 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:08:36 +0000] "POST /api/v1/transactions/generate_coupon HTTP/1.1" 500 57 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:09:32 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:09:34 +0000] "POST /api/v1/transactions/generate_coupon HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:13:03 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:13:05 +0000] "POST /api/v1/transactions/generate_coupon HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:15:12 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:15:15 +0000] "POST /api/v1/transactions/generate_coupon HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:19:23 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:19:29 +0000] "POST /api/v1/transactions/generate_coupon HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:21:20 +0000] "POST /api/v1/wallets/login HTTP/1.1" 200 518 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:21:24 +0000] "POST /api/v1/transactions/generate_coupon HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.2"
::1 - - [06/Nov/2022:09:21:54 +0000] "POST /api/v1/transactions/generate_coupon HTTP/1.1" 200 16 "-" "PostmanRuntime/7.29.2"
